LABEL,TRACK_ID,SPOT_SOURCE_ID,SPOT_TARGET_ID,LINK_COST,DIRECTIONAL_CHANGE_RATE,SPEED,DISPLACEMENT,EDGE_TIME,EDGE_X_LOCATION,EDGE_Y_LOCATION,EDGE_Z_LOCATION,MANUAL_EDGE_COLOR
Label,Track ID,Source spot ID,Target spot ID,Edge cost,Directional change rate,Speed,Displacement,Edge time,Edge X,Edge Y,Edge Z,Manual edge color
Label,Track ID,Source ID,Target ID,Cost,? rate,Speed,Disp.,Edge T,Edge X,Edge Y,Edge Z,Edge color
,,,,(cost),(rad/frame),( /frame),( ),(frame),( ),( ),( ),
ID1173635 ? ID1173923,0,1173635,1173923,0.3118160190325294,0.12530556914695473,2.750892489295291,2.750892489295291,53.5,203.60206115331036,220.35087821875135,0.0,
ID1166264 ? ID1165829,0,1166264,1165829,0.060791018344223735,1.450217905382992,0.07531646819350962,0.07531646819350962,9.5,190.12421786382168,172.08208367822436,0.0,
ID1168184 ? ID1167897,0,1168184,1167897,0.5539488320355951,0.3277761766515337,9.899335362256275,9.899335362256275,22.5,190.3103681314588,178.4047539227268,0.0,
ID1175039 ? ID1175025,0,1175039,1175025,0.05560603307290535,0.42020690084606455,0.2798743790890008,0.2798743790890008,59.5,184.18228336548947,190.6498580935604,0.0,
ID1169325 ? ID1169455,0,1169325,1169455,0.06911991045192212,1.27893992795945,0.2567860848058073,0.2567860848058073,32.5,189.96930388523307,190.2182588306482,0.0,
ID1169160 ? ID1168913,0,1169160,1168913,0.08311973636029735,0.25436189698399353,0.2986479752014257,0.2986479752014257,30.5,181.101954123749,168.5468496603112,0.0,
ID1169967 ? ID1171073,0,1169967,1171073,0.1697860962566845,0.2002531229507134,1.1763928806857695,1.1763928806857695,39.5,190.67691799790651,194.86823149740596,0.0,
ID1171128 ? ID1171407,0,1171128,1171407,0.09669398909798943,0.23761506170749702,1.057228174327754,1.057228174327754,42.5,191.68475723622782,197.635101010101,0.0,
ID1171354 ? ID1171598,0,1171354,1171598,0.06304493628437291,0.5038752819333635,0.7543768661053013,0.7543768661053013,43.5,181.15535059977074,170.93106602595594,0.0,
ID1171668 ? ID1171496,0,1171668,1171496,0.1274174631298054,0.4160976249476329,1.0354899747735804,1.0354899747735804,46.5,192.26859942244226,202.0777619636964,0.0,
ID1175084 ? ID1175075,0,1175084,1175075,0.11412358133668743,0.05756985568107085,0.5337789524299686,0.5337789524299686,59.5,207.3530648982034,228.41495776023265,0.0,
ID1171073 ? ID1170721,0,1171073,1170721,0.10308041913898369,0.0993067896464086,0.726817147141829,0.726817147141829,40.5,190.73279576823757,195.81708527204466,0.0,
